model,dataset,test-size,key,percentage
vgpt2,gmail,1.65,r13,1.65
vgpt2,gmail,1.86,r5,1.86
vgpt2,gmail,0.16,r16,0.16
vgpt2,taobao,35.45,r4,35.45
vgpt2,taobao,34.46,r14,34.46
vgpt2,taobao,13.89,r19,13.89
vgpt2,taobao,4.39,r6,4.39
vgpt2,taobao,4.76,r10,4.76
vgpt2,taobao,10.38,r1,10.38
vgpt2,taobao,10.58,r2,10.58
vgpt2,taobao,0.47,r3,0.47
vgpt2,taobao,0.55,r9,0.55
vgpt2,taobao,1.39,r11,1.39
vgpt2,taobao,0.31,r7,0.31
vgpt2,taobao,1.0,r12,1.0
vgpt2,taobao,2.02,r8,2.02
vgpt2,taobao,1.97,r13,1.97
vgpt2,taobao,7.89,r5,7.89
vgpt2,taobao,0.0,r16,0.0
vgpt2,taobao,0.0,r18,0.0
vgpt2,taobao,1.32,r17,1.32
vgpt2,taobao,0.0,r15,0.0
vgpt2,000webhost,2.74,r6,2.74
vgpt2,000webhost,3.43,r10,3.43
