model,dataset,test-size,key,percentage
fla,libero,31477,8,58.9
fla,libero,17438,9,54.59
fla,libero,4697,12,35.19
fla,libero,12737,6,92.42
fla,libero,9459,7,78.83
fla,libero,6487,11,44.46
fla,libero,27,4,100.0
fla,libero,44,5,95.45
fla,libero,2,3,0.0
fla,libero,1,2,0.0
fla,mailru,50972,10,31.65
fla,mailru,79124,6,85.37
fla,mailru,135007,8,47.0
fla,mailru,85038,7,78.86
fla,mailru,74501,9,53.61
fla,mailru,29474,12,17.6
fla,mailru,3013,4,98.27
fla,mailru,36530,11,20.08
fla,mailru,4663,5,91.66
fla,mailru,111,3,0.0
fla,mailru,2,2,0.0
fla,mailru,1,1,0.0
fla,gmail,217137,8,59.51
fla,gmail,109135,9,46.87
fla,gmail,93461,7,72.03
fla,gmail,106116,6,87.85
fla,gmail,121286,10,27.81
fla,gmail,27565,11,27.05
fla,gmail,17203,12,16.61
fla,gmail,16700,5,93.63
fla,gmail,5044,4,98.97
fla,gmail,2080,3,7.84
fla,gmail,27,1,0.0
fla,gmail,197,2,2.03
fla,taobao,233478,10,25.44
fla,taobao,210559,8,66.18
fla,taobao,109352,6,83.49
fla,taobao,230425,9,33.14
fla,taobao,169805,7,80.44
fla,taobao,159572,11,18.48
fla,taobao,100824,12,19.02
fla,taobao,1246,4,96.47
fla,taobao,1699,5,87.17
fla,taobao,249,3,2.81
fla,taobao,55,2,1.82
fla,taobao,28,1,10.71
fla,000webhost,179285,7,51.82
fla,000webhost,206791,12,12.58
fla,000webhost,375335,10,24.12
fla,000webhost,379528,9,35.28
fla,000webhost,537956,8,36.46
fla,000webhost,281474,11,16.98
fla,000webhost,109152,6,74.15
fla,000webhost,445,5,35.96
fla,000webhost,126,3,4.76
fla,000webhost,55,1,3.64
fla,000webhost,154,4,64.94
fla,000webhost,109,2,1.83
fla,rockyou,651286,7,77.2
fla,rockyou,594288,6,88.58
fla,rockyou,463803,10,37.56
fla,rockyou,761164,8,61.55
fla,rockyou,194247,11,19.9
fla,rockyou,121713,12,11.6
fla,rockyou,83059,5,93.95
fla,rockyou,529298,9,47.4
fla,rockyou,6130,4,97.08
fla,rockyou,774,3,4.26
fla,rockyou,108,2,1.85
fla,rockyou,21,1,66.67
fla,linkedin,1755937,9,27.23
fla,linkedin,1521295,10,14.58
fla,linkedin,507388,12,4.11
fla,linkedin,2982323,8,41.85
fla,linkedin,1085113,6,75.65
fla,linkedin,794698,11,8.2
fla,linkedin,1336390,7,58.11
fla,linkedin,516,5,26.94
fla,linkedin,44,4,56.82
fla,linkedin,10,1,0.0
fla,linkedin,1,3,0.0
plr_gan,gmail,121286,10,0.43
plr_gan,gmail,217137,8,11.77
plr_gan,gmail,17203,12,0.0
plr_gan,gmail,93461,7,19.44
plr_gan,gmail,109135,9,1.85
plr_gan,gmail,27565,11,0.01
plr_gan,gmail,106116,6,56.45
plr_gan,gmail,5044,4,86.04
plr_gan,gmail,2080,3,46.35
plr_gan,gmail,16700,5,72.85
plr_gan,gmail,197,2,71.57
plr_gan,gmail,27,1,88.89
