model,train-dataset,test-settings,n_samples,length,test-size,matches,match_percentage
vgpt2,mailru,all-12-100-80,500000000,11,36530,NONE,0.03
vgpt2,mailru,all-12-100-80,500000000,8,135007,NONE,12.94
vgpt2,mailru,all-12-100-80,500000000,12,29474,NONE,0.0
vgpt2,mailru,all-12-100-80,500000000,10,50972,NONE,0.25
vgpt2,mailru,all-12-100-80,500000000,9,74501,NONE,8.25
vgpt2,mailru,all-12-100-80,500000000,7,85038,NONE,22.34
vgpt2,mailru,all-12-100-80,500000000,6,79124,NONE,46.77
vgpt2,mailru,all-12-100-80,500000000,4,3013,NONE,68.4
vgpt2,mailru,all-12-100-80,500000000,5,4663,NONE,50.42
vgpt2,mailru,all-12-100-80,500000000,3,111,NONE,67.57
vgpt2,mailru,all-12-100-80,500000000,2,2,NONE,50.0
vgpt2,mailru,all-12-100-80,500000000,1,1,NONE,100.0
vgpt2,gmail,all-12-100-80,500000000,6,106116,NONE,49.59
vgpt2,gmail,all-12-100-80,500000000,10,121286,NONE,0.06
vgpt2,gmail,all-12-100-80,500000000,7,93461,NONE,17.49
vgpt2,gmail,all-12-100-80,500000000,12,17203,NONE,0.0
vgpt2,gmail,all-12-100-80,500000000,8,217137,NONE,4.85
vgpt2,gmail,all-12-100-80,500000000,9,109135,NONE,0.71
vgpt2,gmail,all-12-100-80,500000000,4,5044,NONE,79.32
