model,train-dataset,test-settings,n_samples,pattern,test-size,matches,match_percentage
passgan,rockyou,all-12-100-80,500000000,r16,8256,2,0.02
passgan,rockyou,all-12-100-80,500000000,r17,3670,12,0.33
passgan,rockyou,all-12-100-80,500000000,r15,2325,2,0.09
passgan,rockyou,all-12-100-80,500000000,r5,353,0,0.0
passgan,mailru,all-12-100-80,500000000,r6,303971,20943,6.89
passgan,mailru,all-12-100-80,500000000,r4,77291,49508,64.05
passgan,mailru,all-12-100-80,500000000,r14,93417,49586,53.08
passgan,mailru,all-12-100-80,500000000,r10,153725,9004,5.86
passgan,mailru,all-12-100-80,500000000,r1,106029,10103,9.53
passgan,mailru,all-12-100-80,500000000,r2,87881,10050,11.44
passgan,mailru,all-12-100-80,500000000,r12,2629,5,0.19
passgan,mailru,all-12-100-80,500000000,r19,30500,6446,21.13
passgan,mailru,all-12-100-80,500000000,r8,2291,3,0.13
passgan,mailru,all-12-100-80,500000000,r3,1731,2,0.12
passgan,mailru,all-12-100-80,500000000,r9,5680,3,0.05
passgan,mailru,all-12-100-80,500000000,r7,3166,0,0.0
passgan,mailru,all-12-100-80,500000000,r13,1017,3,0.29
passgan,mailru,all-12-100-80,500000000,r16,269,0,0.0
passgan,mailru,all-12-100-80,500000000,r17,347,1,0.29
passgan,mailru,all-12-100-80,500000000,r11,782,0,0.0
passgan,mailru,all-12-100-80,500000000,r15,124,0,0.0
passgan,mailru,all-12-100-80,500000000,r18,227,0,0.0
passgan,mailru,all-12-100-80,500000000,r5,8,0,0.0
passgan,ashleymadison,all-12-100-80,500000000,r1,25948,5945,22.91
passgan,ashleymadison,all-12-100-80,500000000,r2,24626,5944,24.14
passgan,ashleymadison,all-12-100-80,500000000,r6,38793,4288,11.05
passgan,ashleymadison,all-12-100-80,500000000,r10,31045,4121,13.27
passgan,ashleymadison,all-12-100-80,500000000,r19,7638,1830,23.96
passgan,ashleymadison,all-12-100-80,500000000,r3,713,0,0.0
passgan,ashleymadison,all-12-100-80,500000000,r4,9273,5729,61.78
passgan,ashleymadison,all-12-100-80,500000000,r14,10122,5724,56.55
passgan,ashleymadison,all-12-100-80,500000000,r12,818,39,4.77
passgan,ashleymadison,all-12-100-80,500000000,r9,210,0,0.0
passgan,ashleymadison,all-12-100-80,500000000,r11,73,1,1.37
passgan,ashleymadison,all-12-100-80,500000000,r7,76,1,1.32
passgan,ashleymadison,all-12-100-80,500000000,r18,30,1,3.33
passgan,ashleymadison,all-12-100-80,500000000,r8,19,0,0.0
passgan,ashleymadison,all-12-100-80,500000000,r15,2,0,0.0
passgan,ashleymadison,all-12-100-80,500000000,r17,10,0,0.0
passgan,ashleymadison,all-12-100-80,500000000,r13,14,0,0.0
passgan,ashleymadison,all-12-100-80,500000000,r16,10,0,0.0
